image,attack,psnr_cover_vs_wm,ssim_cover_vs_wm,bit_accuracy,payload_bits,delta
synthetic_00,identity,64.57,0.9999,1.0,64,16.0
synthetic_00,jpeg_q90,64.57,0.9999,0.8594,64,16.0
synthetic_00,jpeg_q70,64.57,0.9999,0.5156,64,16.0
synthetic_00,jpeg_q40,64.57,0.9999,0.5156,64,16.0
synthetic_00,jpeg_q20,64.57,0.9999,0.5156,64,16.0
synthetic_00,gauss_noise_.01,64.57,0.9999,0.9062,64,16.0
synthetic_00,gauss_noise_.03,64.57,0.9999,0.5312,64,16.0
synthetic_00,gauss_blur_1.0,64.57,0.9999,0.5156,64,16.0
synthetic_00,gauss_blur_2.0,64.57,0.9999,0.5156,64,16.0
synthetic_00,resize_0.5,64.57,0.9999,0.5156,64,16.0
synthetic_00,resize_2.0,64.57,0.9999,0.9375,64,16.0
synthetic_00,rot_5,64.57,0.9999,0.9219,64,16.0
synthetic_00,crop_0.9,64.57,0.9999,0.9844,64,16.0
synthetic_01,identity,64.168,0.9999,1.0,64,16.0
synthetic_01,jpeg_q90,64.168,0.9999,0.9688,64,16.0
synthetic_01,jpeg_q70,64.168,0.9999,0.4375,64,16.0
synthetic_01,jpeg_q40,64.168,0.9999,0.4375,64,16.0
synthetic_01,jpeg_q20,64.168,0.9999,0.4375,64,16.0
synthetic_01,gauss_noise_.01,64.168,0.9999,0.9219,64,16.0
synthetic_01,gauss_noise_.03,64.168,0.9999,0.5625,64,16.0
synthetic_01,gauss_blur_1.0,64.168,0.9999,0.4375,64,16.0
synthetic_01,gauss_blur_2.0,64.168,0.9999,0.4375,64,16.0
synthetic_01,resize_0.5,64.168,0.9999,0.4375,64,16.0
synthetic_01,resize_2.0,64.168,0.9999,0.9688,64,16.0
synthetic_01,rot_5,64.168,0.9999,0.9062,64,16.0
synthetic_01,crop_0.9,64.168,0.9999,0.8906,64,16.0
synthetic_02,identity,63.647,0.9999,1.0,64,16.0
synthetic_02,jpeg_q90,63.647,0.9999,0.8125,64,16.0
synthetic_02,jpeg_q70,63.647,0.9999,0.4531,64,16.0
synthetic_02,jpeg_q40,63.647,0.9999,0.4531,64,16.0
synthetic_02,jpeg_q20,63.647,0.9999,0.4531,64,16.0
synthetic_02,gauss_noise_.01,63.647,0.9999,0.9375,64,16.0
synthetic_02,gauss_noise_.03,63.647,0.9999,0.5312,64,16.0
synthetic_02,gauss_blur_1.0,63.647,0.9999,0.4531,64,16.0
synthetic_02,gauss_blur_2.0,63.647,0.9999,0.4531,64,16.0
synthetic_02,resize_0.5,63.647,0.9999,0.4531,64,16.0
synthetic_02,resize_2.0,63.647,0.9999,0.8438,64,16.0
synthetic_02,rot_5,63.647,0.9999,0.9375,64,16.0
synthetic_02,crop_0.9,63.647,0.9999,0.9375,64,16.0
synthetic_03,identity,64.126,0.9999,1.0,64,16.0
synthetic_03,jpeg_q90,64.126,0.9999,0.8594,64,16.0
synthetic_03,jpeg_q70,64.126,0.9999,0.5,64,16.0
synthetic_03,jpeg_q40,64.126,0.9999,0.5,64,16.0
synthetic_03,jpeg_q20,64.126,0.9999,0.5,64,16.0
synthetic_03,gauss_noise_.01,64.126,0.9999,0.9688,64,16.0
synthetic_03,gauss_noise_.03,64.126,0.9999,0.5938,64,16.0
synthetic_03,gauss_blur_1.0,64.126,0.9999,0.5,64,16.0
synthetic_03,gauss_blur_2.0,64.126,0.9999,0.5,64,16.0
synthetic_03,resize_0.5,64.126,0.9999,0.5,64,16.0
synthetic_03,resize_2.0,64.126,0.9999,0.8281,64,16.0
synthetic_03,rot_5,64.126,0.9999,0.8125,64,16.0
synthetic_03,crop_0.9,64.126,0.9999,0.9375,64,16.0
synthetic_04,identity,64.664,1.0,1.0,64,16.0
synthetic_04,jpeg_q90,64.664,1.0,0.8906,64,16.0
synthetic_04,jpeg_q70,64.664,1.0,0.4844,64,16.0
synthetic_04,jpeg_q40,64.664,1.0,0.4844,64,16.0
synthetic_04,jpeg_q20,64.664,1.0,0.4844,64,16.0
synthetic_04,gauss_noise_.01,64.664,1.0,0.9062,64,16.0
